MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_3076,5.65,[4.01:7.29],1,0.387,0.308
Molecule_3078,-0.87,[-2.73:1.05],1,0.539,0.305
Molecule_3079,4.6,[4.56:4.64],1,0.998,0.938
Molecule_3080,0.64,[0.31:1.11],1,0.51,0.675
Molecule_3081,2.54,[2.52:2.56],1,0.998,0.983
Molecule_3082,-1.02,[-1.96:-0.08],0,0.216,0.389
Molecule_3083,-0.44,[-1.37:0.49],0,0.36,0.462
Molecule_3084,-0.32,[-0.88:0.24],1,0.518,0.631
Molecule_3085,5.4,[5.36:5.44],1,0.998,0.961
Molecule_3086,-3.86,[-4.02:-3.7],1,0.998,0.775
Molecule_3087,-1.09,[-2.25:0.02],1,0.349,0.443
Molecule_3088,4.47,[4.45:4.49],1,0.998,0.982
Molecule_3089,8.68,[7.27:10.09],1,0.551,0.402
Molecule_3090,-0.37,[-2.37:1.63],1,0.326,0.226
Molecule_3091,2.87,[1.82:3.92],1,0.476,0.517
Molecule_3093,8.49,[5.31:11.67],1,0.535,0.1
Molecule_3094,4.52,[4.49:4.55],1,0.998,0.899
Molecule_3095,2.7,[2.6:2.7],1,0.998,0.755
Molecule_3096,3.72,[3.7:3.74],1,0.998,0.936
Molecule_3097,4.44,[4.36:4.45],1,0.998,0.867
Molecule_3098,-1.43,[-2.09:-0.77],1,0.384,0.556
Molecule_3100,-0.07,[-0.08:-0.06],1,0.998,0.97
Molecule_3101,-0.35,[-2.35:1.65],1,0.312,0.222
Molecule_3102,1.38,[1.36:1.4],1,0.998,0.976
Molecule_3103,2.65,[2.65:2.68],1,0.998,0.939
Molecule_3104,0.77,[0.3:1.35],1,0.627,0.685
Molecule_3105,0.3,[0.24:0.36],1,0.998,0.934
Molecule_3106,0.03,[0:0.06],1,0.998,0.978
Molecule_3107,-0.64,[-1.1:-0.18],1,0.449,0.641
Molecule_3108,-3.11,[-4.93:-1.29],1,0.457,0.288
Molecule_3109,6.5,[6.5:6.52],1,0.998,0.935
Molecule_3110,6.91,[6.64:7.18],1,0.533,0.719
Molecule_3111,7.63,[7.24:8.02],1,0.477,0.681
Molecule_3112,0.69,[0.11:1.27],1,0.622,0.72
Molecule_3113,-2.25,[-2.55:-1.95],1,0.575,0.735
Molecule_3114,0.21,[0.16:0.26],1,0.998,0.923
Molecule_3115,2.99,[2.73:3.25],1,0.738,0.815
Molecule_3116,6.16,[6.15:6.38],1,0.998,0.721
Molecule_3117,3.21,[3.15:3.27],1,0.998,0.97
Molecule_3118,3.36,[2.92:3.8],1,0.814,0.769
Molecule_3119,1.38,[1.35:1.41],1,0.998,0.953
Molecule_3120,1.11,[0.72:1.53],1,0.67,0.736
Molecule_3121,0.97,[0.97:1.01],1,0.998,0.928
Molecule_3122,0.17,[-0.11:0.42],1,0.408,0.68
Molecule_3123,3.39,[3.36:3.42],1,0.998,0.932
Molecule_3124,2.38,[1.89:2.87],1,0.534,0.67
Molecule_3125,2.16,[1.78:2.54],1,0.572,0.693
Molecule_3126,1.74,[1.36:2.12],1,0.588,0.713
Molecule_3127,1.75,[1.37:2.13],1,0.584,0.711
Molecule_3128,3.03,[2.96:3.04],1,0.998,0.833
Molecule_3129,7.69,[7.43:7.95],1,0.919,0.877
Molecule_3130,6.6,[3.65:9.43],1,0.612,0.152
Molecule_3131,-0.72,[-0.94:-0.5],1,0.404,0.68
Molecule_3132,-0.62,[-2.5:1.26],0,0.433,0.366
Molecule_3133,-1.7,[-1.72:-1.68],1,0.998,0.925
Molecule_3134,-1.44,[-1.48:-1.4],1,0.998,0.931
Molecule_3135,6,[5.98:6.02],1,0.998,0.961
Molecule_3136,1.28,[0.62:1.94],1,0.435,0.55
Molecule_3137,3.09,[3.02:3.1],1,0.998,0.875
Molecule_3138,7.92,[7.55:8.29],1,0.553,0.714
Molecule_3139,3.71,[1.56:5.86],1,0.462,0.253
Molecule_3140,7.48,[6.58:8.38],1,0.755,0.589
Molecule_3141,5.36,[4.63:5.86],1,0.38,0.591
Molecule_3142,1.7,[1.7:1.72],1,0.998,0.913
Molecule_3143,2.37,[1.54:3.2],1,0.371,0.52
Molecule_3144,2.45,[2.4:2.45],1,0.998,0.88
Molecule_3145,3.97,[3.05:4.99],1,0.567,0.522
Molecule_3146,5,[4.96:5],1,0.998,0.848
Molecule_3147,-0.66,[-0.69:-0.63],1,0.998,0.973
Molecule_3148,0.7,[0.67:0.73],1,0.998,0.91
Molecule_3149,0.23,[0.2:0.26],1,0.998,0.909
Molecule_3150,2.34,[2.22:2.46],1,0.633,0.805
Molecule_3151,-0.41,[-0.44:-0.38],1,0.998,0.968
Molecule_3152,3.06,[2.6:3.52],1,0.539,0.695
Molecule_3153,0.99,[0.83:1],1,0.998,0.719
Molecule_3154,1.07,[0.88:1.28],1,0.879,0.861
Molecule_3155,3.7,[3.66:3.74],1,0.998,0.968
Molecule_3156,2.56,[1.52:3.65],1,0.472,0.515
Molecule_3157,0.12,[-0.08:0.13],1,0.998,0.713
Molecule_3158,6.64,[6.5:6.87],1,0.776,0.817
Molecule_3159,7.92,[7.55:8.29],1,0.549,0.712
Molecule_3160,1.36,[1.34:1.38],1,0.998,0.968
Molecule_3161,3.59,[3.48:3.6],1,0.998,0.825
Molecule_3162,-2.25,[-2.26:-2.08],1,0.998,0.754
Molecule_3163,-1.69,[-2.71:-1.04],1,0.43,0.461
Molecule_3164,3.72,[3.68:3.76],1,0.998,0.894
Molecule_3165,5.29,[4.65:5.93],1,0.661,0.633
Molecule_3166,-0.06,[-0.21:0.09],1,0.998,0.805
Molecule_3167,3.49,[3.24:3.74],1,0.576,0.75
Molecule_3168,0.89,[0.86:0.92],1,0.998,0.956
Molecule_3169,7.05,[7.01:7.09],1,0.998,0.979
Molecule_3170,5.69,[5.61:5.77],1,0.998,0.902
Molecule_3171,-1.05,[-1.08:-1.02],1,0.998,0.975
Molecule_3172,7.31,[7.24:7.37],1,0.998,0.912
Molecule_3173,-1.17,[-1.18:-1.13],1,0.998,0.92
Molecule_3174,1.89,[0.6:3.18],1,0.6,0.432
Molecule_3175,4.5,[2.16:6.84],1,0.429,0.195
Molecule_3176,2.08,[1.51:2.65],1,0.693,0.667
Molecule_3177,1.86,[1.61:2.11],1,0.785,0.814
Molecule_3178,0.78,[0.69:0.87],1,0.998,0.845
Molecule_3179,2.53,[2.26:2.8],1,0.693,0.815
Molecule_3180,-1.29,[-1.3:-1.2],1,0.998,0.804
Molecule_3181,3.13,[3.13:3.17],1,0.998,0.874
Molecule_3182,1.1,[0.65:1.73],1,0.403,0.609
Molecule_3183,2.1,[2.07:2.1],1,0.998,0.906
Molecule_3184,2.04,[2:2.08],1,0.998,0.926
Molecule_3185,-4.11,[-5.4:-2.48],0,0.558,0.383
Molecule_3186,0.9,[0.9:0.93],1,0.998,0.885
Molecule_3187,3.72,[3.7:3.74],1,0.998,0.936
Molecule_3188,5.17,[5.13:5.21],1,0.998,0.886
Molecule_3189,3.13,[2.72:3.54],1,0.39,0.613
Molecule_3190,-0.9,[-0.98:-0.9],1,0.998,0.837
Molecule_3191,-1.25,[-2.78:-0.29],1,0.619,0.441
