MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_152,3.26,[3.19:3.33],1,0.998,0.914
Molecule_153,3.3,[3.28:3.32],1,0.998,0.982
Molecule_154,6.37,[6.17:6.5],0,0.475,0.666
Molecule_155,4.18,[4.15:4.21],1,0.998,0.898
Molecule_156,2.3,[2.28:2.35],1,0.998,0.911
Molecule_157,3.35,[2.84:3.86],1,0.891,0.746
Molecule_158,3.31,[3.27:3.35],1,0.998,0.913
Molecule_159,2.49,[2.48:2.63],1,0.998,0.793
Molecule_160,2.81,[2.46:3.16],1,0.814,0.78
Molecule_161,3.2,[3.16:3.24],1,0.998,0.958
Molecule_164,3.87,[2.94:4.8],1,0.704,0.586
Molecule_168,3.39,[3.36:3.42],1,0.998,0.986
Molecule_169,2.51,[2.51:2.53],1,0.998,0.917
Molecule_175,1.42,[1.41:1.5],1,0.998,0.849
Molecule_176,1.98,[1.98:2.01],1,0.998,0.89
Molecule_177,0.46,[0.43:0.49],1,0.998,0.926
Molecule_178,3.3,[3.05:3.5],1,0.751,0.794
Molecule_179,1.08,[1.03:1.13],1,0.998,0.92
Molecule_180,2.47,[2.2:2.74],1,0.998,0.843
Molecule_181,7.97,[6.2:10.2],0,0.341,0.183
Molecule_182,-0.55,[-1.96:0.67],1,0.657,0.503
Molecule_183,-0.35,[-0.35:-0.33],1,0.998,0.896
Molecule_184,2,[1.95:2.05],1,0.998,0.884
Molecule_185,0.74,[-0.02:1.5],1,0.477,0.612
Molecule_186,2.23,[2.02:2.69],1,0.852,0.768
Molecule_188,1.98,[1.65:2.31],1,0.569,0.694
Molecule_189,1.22,[1.09:1.35],1,0.998,0.824
Molecule_190,0.26,[0.21:0.31],1,0.998,0.949
Molecule_191,0.56,[0.17:1.04],1,0.809,0.722
Molecule_192,5.76,[5.71:5.81],1,0.998,0.968
Molecule_193,1.7,[1.65:1.75],1,0.998,0.932
Molecule_194,4.38,[4.34:4.42],1,0.998,0.913
Molecule_195,6.14,[6.07:6.21],1,0.998,0.903
Molecule_196,1.95,[1.91:1.99],1,0.998,0.911
